base_premium,account_age_days,clad_score,delivery_consistency,avg_daily_earning,claim_free_weeks,past_claims_count,is_monsoon,is_aqi_season,flood_frequency,avg_rainfall_mm,aqi_annual_avg,waterlogging_score,disruption_days_per_year,weekly_disruption_prob,expected_weekly_payout,optimal_premium
49,413,93.82987153478088,0.4382052012089179,775.9338239327542,13,1,1,0,0.3,720,220,0.28,35,1.678082191780822,651.0403659709752,120.0
49,67,65.8102917657758,0.6288696910964146,646.6434930105231,1,4,0,0,0.3,720,220,0.28,35,0.6712328767123288,217.02418601038104,120.0
49,52,58.81893959862482,0.9727410288167216,721.6637010166518,5,0,0,0,0.85,2400,145,0.8,38,0.7287671232876712,262.96238968551967,120.0
49,370,72.05403247703924,0.9147235316651006,722.0660022286189,15,1,0,1,0.45,940,88,0.4,19,0.3643835616438356,131.55449081699496,120.0
49,754,63.91472789489939,0.8552520175874931,648.7742716063096,0,1,0,1,0.85,2400,145,0.8,38,0.7287671232876712,236.4026797907923,120.0
49,138,52.23225085839722,0.6735009603902586,699.2015854442515,3,3,0,1,0.3,720,220,0.28,35,0.6712328767123288,234.66354579978304,120.0
49,2,51.15479391126957,0.3079442705669122,707.1062120817386,8,2,1,0,0.3,720,220,0.28,35,1.678082191780822,593.2911710959793,120.0
49,38,71.03614880074761,0.5325542223945551,849.5302230997155,1,3,0,0,0.45,940,88,0.4,19,0.3643835616438356,154.7774242085783,120.0
49,56,40.930401095214755,0.7797684289016347,703.5980361432589,1,1,0,1,0.3,720,220,0.28,35,0.6712328767123288,236.1390669247924,120.0
49,19,50.51949577627697,0.8063464161173362,656.6840601017104,6,1,0,1,0.72,970,95,0.68,28,0.536986301369863,176.31517230128117,120.0
49,407,90.9183753130027,0.9545958729714892,602.0433509134185,5,2,0,1,0.45,940,88,0.4,19,0.3643835616438356,109.6873502349105,120.0
49,144,49.17288023989169,0.8362531159918072,958.6287446119688,1,1,0,1,0.45,940,88,0.4,19,0.3643835616438356,174.65427812793405,120.0
49,748,76.95740300178441,0.6747186006476799,582.5952666861962,4,2,0,1,0.3,720,220,0.28,35,0.6712328767123288,195.5285484083809,120.0
49,1,53.18098785262637,0.8223907563410625,762.1190824562948,0,2,1,0,0.72,970,95,0.68,28,1.3424657534246576,511.55938411449927,120.0
49,61,70.46929201344479,0.7819321750311773,722.1803348433849,1,0,0,1,0.3,720,220,0.28,35,0.6712328767123288,242.37559183099904,120.0
49,54,55.15070748262223,0.9065740947909281,695.8013811403646,6,1,1,0,0.3,720,220,0.28,35,1.678082191780822,583.805953354073,120.0
49,307,88.46846781545187,0.9448180941943032,672.8505737189589,12,5,1,0,0.85,2400,145,0.8,38,1.821917808219178,612.939221264531,120.0
49,120,65.19486821239896,0.5024402147574464,695.2533815372014,11,3,0,1,0.72,970,95,0.68,28,0.536986301369863,186.670770933276,120.0
49,163,82.88338679243768,0.8043902173204869,468.4378484423011,2,3,0,1,0.72,970,95,0.68,28,0.536986301369863,125.77235382834387,120.0
49,4,50.177282692305994,0.5167865935310101,646.5396974319074,3,2,0,1,0.85,2400,145,0.8,38,0.7287671232876712,235.58843769436623,120.0
49,78,86.4684380407945,0.7129045317434765,728.1057679043824,6,3,0,1,0.85,2400,145,0.8,38,0.7287671232876712,265.30977296241883,120.0
49,97,87.1129872116414,0.6522492793502118,637.8959618910131,1,2,1,0,0.85,2400,145,0.8,38,1.821917808219178,581.0970063801695,120.0
49,625,62.39977305100643,0.6059185308721957,654.8136818773281,1,3,1,0,0.45,940,88,0.4,19,0.910958904109589,298.25417701946793,120.0
49,377,62.45644596781199,0.7489525628231308,678.7663327007141,2,2,0,1,0.72,970,95,0.68,28,0.536986301369863,182.24411124567118,120.0
49,15,62.25187717749166,0.4525341345443958,636.2957472495615,2,2,1,0,0.85,2400,145,0.8,38,1.821917808219178,579.6392766040526,120.0
49,379,55.212200095371344,0.7650910443366864,865.8590789245033,1,2,1,0,0.45,940,88,0.4,19,0.910958904109589,394.3810188252018,120.0
49,314,54.62004102291086,0.6978631711490821,853.4142235128759,2,3,0,1,0.72,970,95,0.68,28,0.536986301369863,229.1358737103064,120.0
49,180,74.1604728967931,0.8029387925421224,721.0654995868609,0,2,0,1,0.85,2400,145,0.8,38,0.7287671232876712,262.74441491795204,120.0
49,157,74.12438005760406,0.7321019887590675,636.9033535224452,0,2,0,0,0.45,940,88,0.4,19,0.3643835616438356,116.03855618970576,120.0
49,206,77.42591784196713,0.5950847218500708,857.2652589630655,18,1,0,0,0.85,2400,145,0.8,38,0.7287671232876712,312.3733683344869,120.0
49,517,88.60596682839217,0.7353150266652205,549.8152690971467,11,2,0,1,0.72,970,95,0.68,28,0.536986301369863,147.62163389457638,120.0
49,365,69.6972702413351,0.7786302961135985,785.0804509106215,3,0,1,0,0.85,2400,145,0.8,38,1.821917808219178,715.1760271994018,120.0
49,24,32.95386227000374,0.8649830450081898,646.4579880142264,0,0,0,1,0.72,970,95,0.68,28,0.536986301369863,173.56954198738134,120.0
49,89,66.75609408351421,0.915989280249518,694.2746372629624,25,1,0,0,0.85,2400,145,0.8,38,0.7287671232876712,252.98226508486027,120.0
49,173,46.57309983333092,0.6904010117479806,678.5185639459017,0,3,0,1,0.45,940,88,0.4,19,0.3643835616438356,123.62050548603415,120.0
49,32,36.50163306307647,0.8239287996120482,622.3675866753312,12,4,0,1,0.45,940,88,0.4,19,0.3643835616438356,113.39025894221787,120.0
49,405,73.0298424351743,0.8490344161422464,621.8298395662662,12,2,0,1,0.72,970,95,0.68,28,0.536986301369863,166.9570528150523,120.0
49,36,58.46199427889125,0.878843446118328,714.4037592061914,6,0,0,1,0.3,720,220,0.28,35,0.6712328767123288,239.76564521303683,120.0
49,5,84.38701143517494,0.4976250662608718,726.9342182271967,3,4,0,0,0.45,940,88,0.4,19,0.3643835616438356,132.4414397592016,120.0
49,58,55.443816778872545,0.8011756235632034,731.2808518988688,1,3,1,0,0.3,720,220,0.28,35,1.678082191780822,613.5746873809003,120.0
49,51,47.435907652032014,0.6122146009659759,796.8751749773301,2,1,0,0,0.45,940,88,0.4,19,0.3643835616438356,145.1841072218971,120.0
49,630,46.81727891753697,0.8976806674037949,648.6261806840905,7,1,0,0,0.3,720,220,0.28,35,0.6712328767123288,217.68960858575642,120.0
49,6,56.459063952280395,0.6235954823842099,660.7743064384418,0,2,0,1,0.45,940,88,0.4,19,0.3643835616438356,120.38764761138735,120.0
49,23,60.15056457134189,0.7859060102045909,754.3041870185601,3,3,1,0,0.85,2400,145,0.8,38,1.821917808219178,687.140115571702,120.0
49,5,85.18240951688439,0.43654613341352294,804.4081276826505,17,4,1,0,0.85,2400,145,0.8,38,1.821917808219178,732.7827464506337,120.0
49,5,54.24651086127279,0.6523548215363133,562.4385528377575,6,1,0,1,0.3,720,220,0.28,35,0.6712328767123288,188.76362389760354,120.0
49,680,75.96647159810792,0.7664688035473646,825.6304153180015,8,3,0,0,0.45,940,88,0.4,19,0.3643835616438356,150.4230756675263,120.0
49,141,82.81299607226336,0.8077114907244833,441.5931863675542,2,1,1,0,0.72,970,95,0.68,28,1.3424657534246576,296.41186482205694,120.0
49,166,55.196884255542464,0.6184133594269917,561.1906929937661,3,4,0,1,0.72,970,95,0.68,28,0.536986301369863,150.6758572969564,120.0
49,227,47.72405940200935,0.8226095959853585,766.3687931728575,3,1,0,1,0.45,940,88,0.4,19,0.3643835616438356,139.62609519450692,120.0
49,66,47.28978611152168,0.5309390585306792,766.0062518829462,1,2,0,1,0.45,940,88,0.4,19,0.3643835616438356,139.56004315127652,120.0
49,150,52.152654244982536,0.794434235720463,648.4713350649696,5,3,0,1,0.72,970,95,0.68,28,0.536986301369863,174.1101118804576,120.0
49,169,77.54952863943213,0.8929405346574696,918.3487656038387,0,3,0,0,0.72,970,95,0.68,28,0.536986301369863,246.57035350459233,120.0
49,240,56.588868235031285,0.6229326468583393,965.2627601909621,2,3,0,1,0.72,970,95,0.68,28,0.536986301369863,259.1664397225049,120.0
49,213,78.47864711169763,0.8573579697392252,567.9064860595978,2,0,0,1,0.85,2400,145,0.8,38,0.7287671232876712,206.93578807103154,120.0
49,131,64.97748546916466,0.762478084207043,954.1427139551067,2,5,0,0,0.45,940,88,0.4,19,0.3643835616438356,173.83696021373862,120.0
49,11,68.16472548509222,0.9344150043381235,611.736406889228,6,3,0,0,0.3,720,220,0.28,35,0.6712328767123288,205.30879409296008,120.0
49,29,73.86478204288768,0.8984118739287447,727.0411304426881,0,3,0,1,0.45,940,88,0.4,19,0.3643835616438356,132.4609182861336,120.0
49,65,75.45492680828626,0.4905946229088433,746.6294325437157,15,3,0,0,0.3,720,220,0.28,35,0.6712328767123288,250.58111092220594,120.0
49,480,86.02526084743742,0.7801853028596281,771.9512935937793,0,1,1,0,0.3,720,220,0.28,35,1.678082191780822,647.698859350945,120.0
49,213,64.06582489372656,0.6544237165850866,701.2423143812057,3,1,0,1,0.45,940,88,0.4,19,0.3643835616438356,127.760586044795,120.0
49,12,39.77705962473862,0.9952961681080459,735.1923176960204,6,1,0,1,0.72,970,95,0.68,28,0.536986301369863,197.39410173756164,120.0
49,189,59.13288363288025,0.8314585330074526,663.7036376214246,0,4,1,0,0.3,720,220,0.28,35,1.678082191780822,556.8746274563323,120.0
49,176,18.738886495306573,0.682606601006995,764.9755273845745,8,0,1,0,0.3,720,220,0.28,35,1.678082191780822,641.8459048260985,120.0
49,96,77.67106455044694,0.8015312196988374,769.5149799521306,4,2,0,1,0.3,720,220,0.28,35,0.6712328767123288,258.26187683324935,120.0
49,120,72.00368998314485,0.9002994036643274,619.71127136081,6,1,0,1,0.72,970,95,0.68,28,0.536986301369863,166.38823176262844,120.0
49,330,74.28165681714793,0.7991361020009041,795.9399104204978,0,1,0,1,0.72,970,95,0.68,28,0.536986301369863,213.7044143046816,120.0
49,240,78.39389405570046,0.7163643503776456,538.3448452564364,2,2,0,1,0.3,720,220,0.28,35,0.6712328767123288,180.67737957236565,120.0
49,34,35.941277632759174,0.6952824640576474,609.1845893716647,2,1,0,1,0.85,2400,145,0.8,38,0.7287671232876712,221.97685037378469,120.0
49,171,54.32626739648536,0.6537600703336379,597.5516158378106,2,2,0,0,0.45,940,88,0.4,19,0.3643835616438356,108.86899302250521,120.0
49,101,59.5339183306051,0.7551802870648507,680.2524314789687,2,5,1,0,0.45,940,88,0.4,19,0.910958904109589,309.8410047489823,120.0
49,111,58.889351895367504,0.9256737356810235,747.962554210317,10,1,0,0,0.3,720,220,0.28,35,0.6712328767123288,251.02852846784612,120.0
49,330,28.637352047119258,0.6209358862764248,774.8258628281965,6,1,0,0,0.3,720,220,0.28,35,0.6712328767123288,260.0442964286413,120.0
49,111,73.75617179567539,0.8267884333095404,843.5957783974782,4,0,1,0,0.85,2400,145,0.8,38,1.821917808219178,768.4810858004424,120.0
49,257,68.7186574342256,0.9059561638897469,647.5050039611907,12,3,0,1,0.45,940,88,0.4,19,0.3643835616438356,117.97008976279228,120.0
49,391,24.35010637197246,0.8964145820851488,965.7101828154731,0,3,1,0,0.3,720,220,0.28,35,1.678082191780822,810.2705301020237,120.0
49,203,49.42478176300629,0.7535462379238094,645.6126340807269,7,3,0,1,0.72,970,95,0.68,28,0.536986301369863,173.34257024633217,120.0
49,71,55.61142509324851,0.708068814750317,658.0465375866636,3,3,0,1,0.72,970,95,0.68,28,0.536986301369863,176.68098817395352,120.0
49,36,64.41227050268496,0.6802271317856506,508.63563192798455,11,2,0,0,0.45,940,88,0.4,19,0.3643835616438356,92.66923157044103,120.0
49,118,40.625214081234276,0.6494736910744573,791.9296334061628,18,0,1,0,0.3,720,220,0.28,35,1.678082191780822,664.4615074811983,120.0
49,10,84.18758234765117,0.5545914792178748,603.6185259183586,8,0,0,0,0.3,720,220,0.28,35,0.6712328767123288,202.58429979451762,120.0
49,120,20.691429538140323,0.7061192351647649,512.494497173615,7,3,0,1,0.3,720,220,0.28,35,0.6712328767123288,172.00157781854202,120.0
49,149,56.354106016868386,0.8477049356634522,634.979801479763,11,2,1,0,0.45,940,88,0.4,19,0.910958904109589,289.2202520438646,120.0
49,354,58.12083920917953,0.8711814015482598,646.1943737135341,3,2,1,0,0.72,970,95,0.68,28,1.3424657534246576,433.74690838305713,120.0
49,129,85.7556298788059,0.8588231296814911,638.747673708764,8,1,1,0,0.85,2400,145,0.8,38,1.821917808219178,581.872880844285,120.0
49,378,82.84030015841178,0.8367791369805422,735.8503490038823,10,3,1,0,0.85,2400,145,0.8,38,1.821917808219178,670.3294275172352,120.0
49,133,49.38781993310026,0.7700677912264061,676.9814250152033,1,5,0,0,0.3,720,220,0.28,35,0.6712328767123288,227.2060946968833,120.0
49,739,65.89147391091493,0.6181414053630064,702.906334800731,20,4,0,0,0.45,940,88,0.4,19,0.3643835616438356,128.06375688835234,120.0
49,384,62.244826633455396,0.8813285542570086,657.6200448627174,11,3,0,1,0.45,940,88,0.4,19,0.3643835616438356,119.81296707772796,120.0
49,114,44.35161075483117,0.5798648652128826,632.1658268321102,2,4,0,1,0.72,970,95,0.68,28,0.536986301369863,169.73219460149807,120.0
49,331,58.42033394054218,0.6162404864001125,565.4343234310259,1,3,0,1,0.85,2400,145,0.8,38,0.7287671232876712,206.0349726474697,120.0
49,185,40.54493565438635,0.7852067328213672,776.1665762274124,1,3,0,1,0.72,970,95,0.68,28,0.536986301369863,208.395409507634,120.0
49,106,72.08651512658234,0.8584740772817183,586.8921530268321,8,3,1,0,0.3,720,220,0.28,35,1.678082191780822,492.426635245116,120.0
49,434,62.913570365741,0.5152616545960849,744.0744776081609,0,1,0,1,0.45,940,88,0.4,19,0.3643835616438356,135.56425413956904,120.0
49,113,92.41948127266684,0.7720261496044748,807.896285642499,13,1,0,0,0.72,970,95,0.68,28,0.536986301369863,216.91461915880797,120.0
49,49,48.83511977279906,0.6518785918783924,817.0237155738915,12,2,0,1,0.72,970,95,0.68,28,0.536986301369863,219.3652715787435,120.0
49,68,61.899368710020255,0.669834474491265,857.7897344300857,7,1,0,1,0.72,970,95,0.68,28,0.536986301369863,230.31066842232437,120.0
49,19,41.263400761364316,0.8253449495115397,677.8772019139485,3,0,1,0,0.45,940,88,0.4,19,0.910958904109589,308.75913648820256,120.0
49,27,89.09976281387935,0.8008574311536208,830.1375499687686,5,3,0,1,0.72,970,95,0.68,28,0.536986301369863,222.88624629298445,120.0
49,16,61.81334092907635,0.7143464073794646,614.9911879707445,3,4,0,1,0.45,940,88,0.4,19,0.3643835616438356,112.04633972617674,120.0
49,312,51.82440439519836,0.5598930636801226,807.6207179038638,2,2,0,1,0.72,970,95,0.68,28,0.536986301369863,216.84063110843468,120.0
49,97,61.100418673362064,0.7250471538642924,688.1694241258886,6,4,1,0,0.72,970,95,0.68,28,1.3424657534246576,461.92194222148686,120.0
49,418,79.67237875214886,0.7974271466538496,474.17811454028333,0,0,0,0,0.85,2400,145,0.8,38,0.7287671232876712,172.78271022974707,120.0
49,147,84.27070423777695,0.45195924216362704,820.0698781651574,3,5,0,1,0.45,940,88,0.4,19,0.3643835616438356,149.4099915013232,120.0
49,157,35.221743575873774,0.8503648907059731,554.2648863096806,13,1,0,0,0.85,2400,145,0.8,38,0.7287671232876712,201.96501336763706,120.0
49,4,58.90434050835598,0.7534585226764349,551.8781353744093,26,2,1,0,0.85,2400,145,0.8,38,1.821917808219178,502.73830140271536,120.0
49,119,48.87127985252981,0.7851122074870048,655.5986764141446,0,2,0,1,0.45,940,88,0.4,19,0.3643835616438356,119.44469036038525,120.0
49,414,74.60710562133482,0.7006049587050205,556.7289992321133,4,4,1,0,0.85,2400,145,0.8,38,1.821917808219178,507.15723902651416,120.0
49,54,67.4770503537123,0.9594996895263662,789.749230734104,0,3,0,1,0.85,2400,145,0.8,38,0.7287671232876712,287.77163750037215,120.0
49,916,54.63860630434243,0.9027608025135289,517.0574456056991,19,4,1,0,0.72,970,95,0.68,28,1.3424657534246576,347.0659566394418,120.0
49,281,75.15912537643165,0.8413018366258118,559.2890069376708,3,3,0,1,0.72,970,95,0.68,28,0.536986301369863,150.16526761614176,120.0
49,40,38.42586683992627,0.8129660386211229,762.5346914055206,5,2,1,0,0.45,940,88,0.4,19,0.910958904109589,347.31888341415834,120.0
49,346,62.275387509970216,0.8224503328972497,607.2546798611669,2,2,0,0,0.85,2400,145,0.8,38,0.7287671232876712,221.27362307269917,120.0
49,42,55.207057545244076,0.7144473605070512,761.941394453795,0,6,0,1,0.85,2400,145,0.8,38,0.7287671232876712,277.6389190749445,120.0
49,120,72.67061513510131,0.7538955412691896,472.7662399655457,0,3,1,0,0.45,940,88,0.4,19,0.910958904109589,215.33530792951225,120.0
49,13,79.25199131727918,0.7324462645605163,784.0883542159477,2,1,0,0,0.85,2400,145,0.8,38,0.7287671232876712,285.7089071526604,120.0
49,184,60.39636959186944,0.36258985811904076,725.159129832955,1,5,1,0,0.3,720,220,0.28,35,1.678082191780822,608.4383109899794,120.0
49,268,84.93165118801133,0.8508173881226638,701.8454777646526,7,0,0,1,0.85,2400,145,0.8,38,0.7287671232876712,255.74095491150356,120.0
49,329,38.057053940305394,0.8720779000198924,680.8486525810005,14,2,0,1,0.72,970,95,0.68,28,0.536986301369863,182.80319987106316,120.0
49,209,53.358668307201874,0.5565116358076727,602.031521667875,20,4,0,1,0.85,2400,145,0.8,38,0.7287671232876712,219.3703900871983,120.0
49,274,56.59221511072046,0.42434445689517925,531.452289151643,0,4,0,0,0.72,970,95,0.68,28,0.536986301369863,142.69129955304388,120.0
49,192,49.79386565365946,0.8819894686355069,649.8443795393626,8,2,0,1,0.85,2400,145,0.8,38,0.7287671232876712,236.79260953078145,120.0
49,224,67.68874232452791,0.5727515125252305,516.9617091719854,0,0,0,1,0.72,970,95,0.68,28,0.536986301369863,138.80067807905363,120.0
49,96,38.69814199755554,0.4009591427943882,694.9983037132127,6,3,0,0,0.45,940,88,0.4,19,0.3643835616438356,126.62297862172232,120.0
49,671,62.57019395618042,0.5638840457488139,719.771300948382,11,0,0,1,0.85,2400,145,0.8,38,0.7287671232876712,262.2728302085885,120.0
49,411,67.32617416419818,0.8668380181557551,502.81734266149994,3,0,0,1,0.45,940,88,0.4,19,0.3643835616438356,91.60918708764314,120.0
49,569,60.61648327884984,0.761579001325902,853.7972554004523,5,1,0,0,0.85,2400,145,0.8,38,0.7287671232876712,311.1096848445484,120.0
49,181,83.56152630575893,0.8546508061306004,479.7146471150775,7,0,1,0,0.85,2400,145,0.8,38,1.821917808219178,437.0003292212692,120.0
49,28,52.61368773714901,0.9457876116398155,800.9834010447711,3,2,0,0,0.3,720,220,0.28,35,0.6712328767123288,268.8231962410533,120.0
49,32,49.917793362799095,0.7922971784474228,739.8212635910219,3,1,0,1,0.72,970,95,0.68,28,0.536986301369863,198.63694200526066,120.0
49,175,67.6745030464184,0.8860712179750966,585.2276347818389,4,2,0,0,0.3,720,220,0.28,35,0.6712328767123288,196.41201441308291,120.0
49,1,83.95343934015685,0.8647949481170875,731.9053875582458,0,2,0,1,0.72,970,95,0.68,28,0.536986301369863,196.5115835087893,120.0
49,61,73.08238575049867,0.5142889849847497,476.01520583672607,9,2,0,0,0.85,2400,145,0.8,38,0.7287671232876712,173.45211609940978,120.0
49,192,72.79785716269495,0.7552372586087444,782.3582148348041,5,2,0,0,0.85,2400,145,0.8,38,0.7287671232876712,285.078472802819,120.0
49,255,74.31173794723065,0.6231268812793237,525.8589171938129,5,1,1,0,0.3,720,220,0.28,35,1.678082191780822,441.2172421660417,120.0
49,347,63.348559295569586,0.8703059254521547,814.9273184394411,8,1,1,0,0.3,720,220,0.28,35,1.678082191780822,683.7575103344626,120.0
49,375,35.60724830783898,0.8544240362663746,618.9150305006066,21,1,0,1,0.72,970,95,0.68,28,0.536986301369863,166.17444654536834,120.0
49,65,47.740701570951074,0.9249691430338967,556.205993710341,10,1,0,1,0.72,970,95,0.68,28,0.536986301369863,149.33749968113264,120.0
49,417,37.86486638746498,0.8767073894978089,750.207786506642,18,0,1,0,0.45,940,88,0.4,19,0.910958904109589,341.7042315252856,120.0
49,55,63.72446966184029,0.38351796067785465,1073.1902267206433,16,5,1,0,0.72,970,95,0.68,28,1.3424657534246576,720.3605631412537,120.0
49,235,49.22997588287457,0.8530768239641139,826.984845633269,4,3,1,0,0.45,940,88,0.4,19,0.910958904109589,376.67460434666015,120.0
49,277,75.96215919367445,0.9361870675079003,657.1564959032069,10,2,0,1,0.45,940,88,0.4,19,0.3643835616438356,119.7285122672966,120.0
49,126,65.0108719611331,0.3540982807672041,642.5395052789916,2,3,1,0,0.85,2400,145,0.8,38,1.821917808219178,585.3270835760676,120.0
